Condition	Subject	Session	Correct	CorrectAns	Response	TestIndex	RT
3_	10	2	1	13	13	15	1994
3_	10	2	0	17	6	16	8615
3_	10	2	1	15	15	17	2946
3_	10	2	1	18	18	18	1899
2_	10	3	1	1	1	1	1527
2_	10	3	1	11	11	2	2357
2_	10	3	1	15	15	3	1469
2_	10	3	1	17	17	4	1206
2_	10	3	1	16	16	5	9743
2_	10	3	1	9	9	6	1807
2_	10	3	0	12	2	7	1850
2_	10	3	1	18	18	8	1765
2_	10	3	1	2	2	9	1688
2_	10	3	1	6	6	10	3357
2_	10	3	1	4	4	11	2882
2_	10	3	1	8	8	12	6989
2_	10	3	1	14	14	13	3247
2_	10	3	1	3	3	14	2094
2_	10	3	1	5	5	15	1896
2_	10	3	1	10	10	16	2176
2_	10	3	1	7	7	17	1981
2_	10	3	1	13	13	18	1988
1_	10	4	1	9	9	1	8786
1_	10	4	1	11	11	2	4035
1_	10	4	1	8	8	3	2583
1_	10	4	1	10	10	4	2273
1_	10	4	1	13	13	5	5702
1_	10	4	1	14	14	6	2075
1_	10	4	1	16	16	7	2141
1_	10	4	1	4	4	8	2005
1_	10	4	1	17	17	9	2003
1_	10	4	1	2	2	10	2627
1_	10	4	1	18	18	11	1770
1_	10	4	1	5	5	12	4083
1_	10	4	1	15	15	13	4053
1_	10	4	1	12	12	14	1595
1_	10	4	1	3	3	15	1985
1_	10	4	1	7	7	16	1688
1_	10	4	1	1	1	17	1980
1_	10	4	1	6	6	18	4979
4_	11	1	0	14	12	1	4058
4_	11	1	0	5	10	2	5136
4_	11	1	0	11	13	3	3465
4_	11	1	1	12	12	4	2532
4_	11	1	0	6	1	5	3528
4_	11	1	0	4	5	6	1653
4_	11	1	0	16	11	7	1612
4_	11	1	1	15	15	8	1447
4_	11	1	0	9	14	9	6246
4_	11	1	0	2	17	10	3085
4_	11	1	0	3	14	11	3850
4_	11	1	0	13	2	12	1736
4_	11	1	0	10	6	13	2890
4_	11	1	1	18	18	14	3066
4_	11	1	0	7	8	15	6100
4_	11	1	0	1	18	16	4030
4_	11	1	0	8	7	17	1432
4_	11	1	0	17	1	18	2548
3_	11	2	0	5	7	1	3004
3_	11	2	0	9	10	2	6179
3_	11	2	1	15	15	3	1616
3_	11	2	1	14	14	4	1763
3_	11	2	0	16	11	5	3124
3_	11	2	1	3	3	6	1891
3_	11	2	1	2	2	7	1851
3_	11	2	0	10	1	8	3915
3_	11	2	0	11	16	9	4554
3_	11	2	0	7	8	10	1809
3_	11	2	0	4	1	11	2971
3_	11	2	1	13	13	12	2992
3_	11	2	0	1	9	13	3059
3_	11	2	0	6	17	14	2669
3_	11	2	1	18	18	15	1573
3_	11	2	0	17	11	16	4660
3_	11	2	0	8	1	17	3722
3_	11	2	1	12	12	18	1064
2_	11	3	1	11	11	1	2198
2_	11	3	0	10	4	2	2038
2_	11	3	0	6	10	3	1715
2_	11	3	1	4	4	4	1889
2_	11	3	1	9	9	5	3571
2_	11	3	1	3	3	6	1873
2_	11	3	1	12	12	7	1818
2_	11	3	0	17	3	8	2376
2_	11	3	0	1	6	9	2814
2_	11	3	0	16	3	10	2409
2_	11	3	0	14	15	11	2603
2_	11	3	0	13	16	12	2433
2_	11	3	0	2	12	13	1852
2_	11	3	0	8	1	14	4145
2_	11	3	1	5	5	15	1841
